OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10787,LAMAI,2,"Friday, December 19, 1997","Friday, January 2, 1998","Friday, December 26, 1997",1,249.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10790,GOURL,6,"Monday, December 22, 1997","Monday, January 19, 1998","Friday, December 26, 1997",1,28.23,Gourmet Lanchonetes,Av. Brasil 442,Campinas,SP,04876-786,Brazil
10370,CHOPS,6,"Tuesday, December 3, 1996","Tuesday, December 31, 1996","Friday, December 27, 1996",2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10726,EASTC,4,"Monday, November 3, 1997","Monday, November 17, 1997","Friday, December 5, 1997",1,16.56,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK
10727,REGGC,2,"Monday, November 3, 1997","Monday, December 1, 1997","Friday, December 5, 1997",1,89.9,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10870,WOLZA,5,"Wednesday, February 4, 1998","Wednesday, March 4, 1998","Friday, February 13, 1998",3,12.04,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
10884,LETSS,4,"Thursday, February 12, 1998","Thursday, March 12, 1998","Friday, February 13, 1998",2,90.97,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA
10425,LAMAI,6,"Friday, January 24, 1997","Friday, February 21, 1997","Friday, February 14, 1997",2,7.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10438,TOMSP,3,"Thursday, February 6, 1997","Thursday, March 6, 1997","Friday, February 14, 1997",2,8.24,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany
10443,REGGC,8,"Wednesday, February 12, 1997","Wednesday, March 12, 1997","Friday, February 14, 1997",1,13.95,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10882,SAVEA,4,"Wednesday, February 11, 1998","Wednesday, March 11, 1998","Friday, February 20, 1998",3,23.1,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10883,LONEP,8,"Thursday, February 12, 1998","Thursday, March 12, 1998","Friday, February 20, 1998",3,0.53,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10893,KOENE,9,"Wednesday, February 18, 1998","Wednesday, March 18, 1998","Friday, February 20, 1998",2,77.78,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10894,SAVEA,1,"Wednesday, February 18, 1998","Wednesday, March 18, 1998","Friday, February 20, 1998",1,116.13,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10444,BERGS,3,"Wednesday, February 12, 1997","Wednesday, March 12, 1997","Friday, February 21, 1997",3,3.5,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10896,MAISD,7,"Thursday, February 19, 1998","Thursday, March 19, 1998","Friday, February 27, 1998",3,32.45,Maison Dewey,Rue Joseph-Bens 532,Bruxelles,NULL,B-1180,Belgium
10904,WHITC,3,"Tuesday, February 24, 1998","Tuesday, March 24, 1998","Friday, February 27, 1998",3,162.95,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10907,SPECD,6,"Wednesday, February 25, 1998","Wednesday, March 25, 1998","Friday, February 27, 1998",3,9.19,Spécialités du monde,25 rue Lauriston,Paris,NULL,75016,France
10440,SAVEA,4,"Monday, February 10, 1997","Monday, March 10, 1997","Friday, February 28, 1997",2,86.53,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10456,KOENE,8,"Tuesday, February 25, 1997","Tuesday, April 8, 1997","Friday, February 28, 1997",2,8.12,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10459,VICTE,4,"Thursday, February 27, 1997","Thursday, March 27, 1997","Friday, February 28, 1997",2,25.09,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10826,BLONP,6,"Monday, January 12, 1998","Monday, February 9, 1998","Friday, February 6, 1998",1,7.09,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10827,BONAP,1,"Monday, January 12, 1998","Monday, January 26, 1998","Friday, February 6, 1998",2,63.54,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10857,BERGS,8,"Wednesday, January 28, 1998","Wednesday, February 25, 1998","Friday, February 6, 1998",2,188.85,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10429,HUNGO,3,"Wednesday, January 29, 1997","Wednesday, March 12, 1997","Friday, February 7, 1997",2,56.63,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10431,BOTTM,4,"Thursday, January 30, 1997","Thursday, February 13, 1997","Friday, February 7, 1997",2,44.17,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10432,SPLIR,3,"Friday, January 31, 1997","Friday, February 14, 1997","Friday, February 7, 1997",2,4.34,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10435,CONSH,8,"Tuesday, February 4, 1997","Tuesday, March 18, 1997","Friday, February 7, 1997",2,9.21,Consolidated Holdings,Berkeley Gardens 12 Brewery,London,NULL,WX1 6LT,UK
10401,RATTC,1,"Wednesday, January 1, 1997","Wednesday, January 29, 1997","Friday, January 10, 1997",1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10402,ERNSH,8,"Thursday, January 2, 1997","Thursday, February 13, 1997","Friday, January 10, 1997",2,67.88,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10819,CACTU,2,"Wednesday, January 7, 1998","Wednesday, February 4, 1998","Friday, January 16, 1998",3,19.76,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,NULL,1010,Argentina
10822,TRAIH,6,"Thursday, January 8, 1998","Thursday, February 5, 1998","Friday, January 16, 1998",3,7,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,USA
10414,FAMIA,2,"Tuesday, January 14, 1997","Tuesday, February 11, 1997","Friday, January 17, 1997",3,21.48,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10771,ERNSH,9,"Wednesday, December 10, 1997","Wednesday, January 7, 1998","Friday, January 2, 1998",2,11.19,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10794,QUEDE,6,"Wednesday, December 24, 1997","Wednesday, January 21, 1998","Friday, January 2, 1998",1,21.49,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10802,SIMOB,4,"Monday, December 29, 1997","Monday, January 26, 1998","Friday, January 2, 1998",2,257.26,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
10829,ISLAT,9,"Tuesday, January 13, 1998","Tuesday, February 10, 1998","Friday, January 23, 1998",1,154.72,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10831,SANTG,3,"Wednesday, January 14, 1998","Wednesday, February 11, 1998","Friday, January 23, 1998",2,72.19,Santé Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
10833,OTTIK,6,"Thursday, January 15, 1998","Thursday, February 12, 1998","Friday, January 23, 1998",2,71.49,Ottilies Käseladen,Mehrheimerstr. 369,Köln,NULL,50739,Germany
10837,BERGS,9,"Friday, January 16, 1998","Friday, February 13, 1998","Friday, January 23, 1998",3,13.32,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10838,LINOD,3,"Monday, January 19, 1998","Monday, February 16, 1998","Friday, January 23, 1998",3,59.28,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10846,SUPRD,2,"Thursday, January 22, 1998","Thursday, March 5, 1998","Friday, January 23, 1998",3,56.46,Suprêmes délices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium
10415,HUNGC,3,"Wednesday, January 15, 1997","Wednesday, February 12, 1997","Friday, January 24, 1997",1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10418,QUICK,4,"Friday, January 17, 1997","Friday, February 14, 1997","Friday, January 24, 1997",1,17.55,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10393,SAVEA,1,"Wednesday, December 25, 1996","Wednesday, January 22, 1997","Friday, January 3, 1997",3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10394,HUNGC,1,"Wednesday, December 25, 1996","Wednesday, January 22, 1997","Friday, January 3, 1997",3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10395,HILAA,6,"Thursday, December 26, 1996","Thursday, January 23, 1997","Friday, January 3, 1997",1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10807,FRANS,4,"Wednesday, December 31, 1997","Wednesday, January 28, 1998","Friday, January 30, 1998",1,1.36,Franchi S.p.A.,Via Monte Bianco 34,Torino,NULL,10100,Italy
10824,FOLKO,8,"Friday, January 9, 1998","Friday, February 6, 1998","Friday, January 30, 1998",1,1.23,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10845,QUICK,8,"Wednesday, January 21, 1998","Wednesday, February 4, 1998","Friday, January 30, 1998",1,212.98,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10849,KOENE,9,"Friday, January 23, 1998","Friday, February 20, 1998","Friday, January 30, 1998",2,0.56,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10850,VICTE,1,"Friday, January 23, 1998","Friday, March 6, 1998","Friday, January 30, 1998",1,49.19,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10852,RATTC,8,"Monday, January 26, 1998","Monday, February 9, 1998","Friday, January 30, 1998",1,174.05,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10422,FRANS,2,"Wednesday, January 22, 1997","Wednesday, February 19, 1997","Friday, January 31, 1997",1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Torino,NULL,10100,Italy
10805,THEBI,2,"Tuesday, December 30, 1997","Tuesday, January 27, 1998","Friday, January 9, 1998",3,237.34,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10808,OLDWO,2,"Thursday, January 1, 1998","Thursday, January 29, 1998","Friday, January 9, 1998",3,45.53,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10813,RICAR,1,"Monday, January 5, 1998","Monday, February 2, 1998","Friday, January 9, 1998",1,47.38,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10569,RATTC,5,"Monday, June 16, 1997","Monday, July 14, 1997","Friday, July 11, 1997",1,58.98,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10250,HANAR,4,"Monday, July 8, 1996","Monday, August 5, 1996","Friday, July 12, 1996",2,65.83,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10597,PICCO,7,"Friday, July 11, 1997","Friday, August 8, 1997","Friday, July 18, 1997",3,35.12,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10598,RATTC,1,"Monday, July 14, 1997","Monday, August 11, 1997","Friday, July 18, 1997",3,44.42,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10578,BSBEV,4,"Tuesday, June 24, 1997","Tuesday, July 22, 1997","Friday, July 25, 1997",3,29.6,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK
10607,SAVEA,5,"Tuesday, July 22, 1997","Tuesday, August 19, 1997","Friday, July 25, 1997",1,200.24,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10571,ERNSH,8,"Tuesday, June 17, 1997","Tuesday, July 29, 1997","Friday, July 4, 1997",3,26.06,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10579,LETSS,1,"Wednesday, June 25, 1997","Wednesday, July 23, 1997","Friday, July 4, 1997",2,13.73,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA
10583,WARTH,2,"Monday, June 30, 1997","Monday, July 28, 1997","Friday, July 4, 1997",2,7.28,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10584,BLONP,4,"Monday, June 30, 1997","Monday, July 28, 1997","Friday, July 4, 1997",1,59.14,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10540,QUICK,3,"Monday, May 19, 1997","Monday, June 16, 1997","Friday, June 13, 1997",3,1007.64,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10556,SIMOB,2,"Tuesday, June 3, 1997","Tuesday, July 15, 1997","Friday, June 13, 1997",1,9.8,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
10559,BLONP,6,"Thursday, June 5, 1997","Thursday, July 3, 1997","Friday, June 13, 1997",1,8.05,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10573,ANTON,7,"Thursday, June 19, 1997","Thursday, July 17, 1997","Friday, June 20, 1997",3,84.84,Antonio Moreno Taquería,Mataderos 2312,México D.F.,NULL,05023,Mexico
10536,LEHMS,3,"Wednesday, May 14, 1997","Wednesday, June 11, 1997","Friday, June 6, 1997",2,58.88,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10550,GODOS,7,"Wednesday, May 28, 1997","Wednesday, June 25, 1997","Friday, June 6, 1997",3,4.32,Godos Cocina Típica,C/ Romero 33,Sevilla,NULL,41101,Spain
10551,FURIB,4,"Wednesday, May 28, 1997","Wednesday, July 9, 1997","Friday, June 6, 1997",3,72.95,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10557,LEHMS,9,"Tuesday, June 3, 1997","Tuesday, June 17, 1997","Friday, June 6, 1997",2,96.72,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10923,LAMAI,7,"Tuesday, March 3, 1998","Tuesday, April 14, 1998","Friday, March 13, 1998",3,68.26,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10925,HANAR,3,"Wednesday, March 4, 1998","Wednesday, April 1, 1998","Friday, March 13, 1998",1,2.27,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10937,CACTU,7,"Tuesday, March 10, 1998","Tuesday, March 24, 1998","Friday, March 13, 1998",3,31.51,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,NULL,1010,Argentina
10939,MAGAA,2,"Tuesday, March 10, 1998","Tuesday, April 7, 1998","Friday, March 13, 1998",2,76.33,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10944,BOTTM,6,"Thursday, March 12, 1998","Thursday, March 26, 1998","Friday, March 13, 1998",3,52.92,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10441,OLDWO,3,"Monday, February 10, 1997","Monday, March 24, 1997","Friday, March 14, 1997",2,73.02,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10464,FURIB,4,"Tuesday, March 4, 1997","Tuesday, April 1, 1997","Friday, March 14, 1997",2,89,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
